Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N2055_PS_parking_supply_P15_I1,2055,5709,308,1824,283,0.9,0.5,20.5,0.9,True,629456.807,487,476,487_S001,near,0.221,0.001421,0.00237,0.0655,0.0131,0.0655,0.015470000000000001,19.66,0.8854999408588158,1824->1969->193->2023->2008->2006->1233->157->155->1820->1972->497->496->495->2031->299->1096->865->866->2010->1979->1090->2009->206->207->540->468->208->1873->1997->1740->1083->1373->1203->2015->1082->426->926->1185->2014->1177->427->65->1313->1314->1312->2022->1173->1171->1170->1962->636->485->1645->90->799->1085->800->168->1679->6->5->1365->1675->1676->915->487,487->283
N2055_PS_spots_per_lot_S2040_I1,2055,5299,103,1824,283,0.9,0.5,20.5,0.9,True,619707.193,487,476,487_S001,near,0.2693999999999999,0.001443,0.002395,0.0655,0.0131,0.0655,0.015495,19.68,1.0460052841910428,1824->1969->1732->428->2004->2003->2000->27->2001->253->1232->1245->342->75->259->1847->1995->1846->567->1205->840->1212->839->1207->22->1220->23->932->931->2032->212->24->1134->1138->1132->1135->1130->1131->1153->1227->479->652->1292->533->663->1997->1740->1083->1373->1203->1204->1863->1993->1742->2015->1082->426->926->1185->2014->1576->1575->1177->427->65->1313->1314->1312->2022->2013->1961->1172->1170->1962->636->485->1645->90->799->101->1646->1422->1514->1648->1649->168->1679->6->5->1365->1675->1676->915->487,487->283
N2055_PS_walking_distance_W050_I1,2055,5299,103,1824,283,0.9,0.5,20.5,0.9,True,653557.714,1678,162,1678_S005,near,0.2133,0.006602,0.010971,0.418,0.0836,0.418,0.09457099999999999,13.07,1.0852864587529192,1824->1969->193->2023->2008->2006->1233->157->155->1820->1972->497->496->495->2031->299->1096->865->866->2010->1979->1090->2009->206->207->540->468->208->1873->1997->1740->1083->1373->1203->2015->1082->426->926->1185->1179->1576->494->917->493->483->1084->484->1081->1302->853->1280->852->851->850->1285->1640->1644->799->1085->800->168->1679->1505->1508->1678,1678->283
N2500_PS_parking_cost_150_300_I1,2500,7696,125,2491,2500,0.9,0.5,20.5,0.9,True,5006292.622,2476,340,2476_S001,near,0.29940000000000067,0.001553,0.003145,0.1661,0.0332,0.1661,0.036345,14.75,1.071819019840231,2491->2487->2341->2340->2332->2328->2326->2320->2317->2305->2311->2300->2282->2268->2263->2256->2252->2251->2247->2257->2240->2226->2237->2220->2235->2236->2218->2228->2211->2202->2187->2178->2156->2170->2155->2154->2130->2109->2098->2085->2072->2078->2082->2069->2046->2038->2033->2030->2044->2028->2017->2014->1968->1955->1902->1900->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1672->1665->1664->1655->1649->1643->1637->1628->1625->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1469->1465->1460->1430->1423->1401->1391->1384->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1234->1219->1206->1212->1203->1194->1197->1183->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->861->857->856->851->818->813->810->805->786->762->776->761->757->755->741->725->715->711->723->705->696->691->697->689->687->695->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->566->561->548->542->530->539->526->525->524->522->508->519->501->476->469->463->731->744->467->450->436->430->408->714->712->706->387->688->373->644->638->641->631->623->365->348->346->616->344->558->314->493->491->487->492->485->479->475->458->464->456->457->206->209->201->198->196->193->190->183->178->174->168->164->326->316->292->301->278->147->137->107->83->97->136->214->188->249->252->256->222->369->226->237->253->20->32->45->27->34->54->29->49->85->100->119->114->129->122->123->125->133->134->181->143->146->156->216->223->211->212->173->185->192->204->202->260->265->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->453->455->460->461->462->471->482->495->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->784->791->815->816->822->821->826->830->839->854->849->852->860->864->866->867->870->880->882->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1100->1110->1120->1116->1122->1139->1167->1168->1181->1175->1189->1191->1199->1204->1180->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1379->1381->1387->1390->1403->1417->1408->1426->1428->1453->1462->1463->1481->1497->1499->1500->1502->1503->1508->1510->1512->1521->1522->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1588->1599->1618->1593->1601->1595->1607->1616->1620->1633->1641->1680->1688->1719->1739->1751->1755->1757->1776->1777->1798->1782->1791->1785->1818->1821->1823->1824->1857->1859->1861->1871->1890->1907->1906->1940->1941->1951->1969->1980->1978->1982->1986->1987->1991->1992->2002->2005->2013->2047->2049->2065->2081->2096->2110->2063->2071->2074->2077->2079->2099->2108->2100->2116->2118->2121->2134->2137->2148->2158->2169->2159->2174->2181->2186->2196->2204->2208->2212->2217->2229->2461->2466->2476,2476->2500
N2500_PS_spot_availability_A30_I1,2500,7696,125,2491,2500,0.9,0.5,20.5,0.9,True,2967128.594,2456,465,2456_S001,near,0.28200000000000036,0.001684,0.003682,0.2297,0.0459,0.2297,0.049582,18.04,1.0389659009844487,2491->2341->2328->2326->2320->2317->2300->2282->2268->2263->2256->2252->2251->2247->2244->2240->2226->2237->2220->2235->2218->2228->2211->2202->2178->2156->2170->2155->2154->2136->2130->2109->2098->2085->2072->2082->2069->2046->2038->2033->2030->2044->2028->2017->2014->1968->1955->1902->1900->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1766->1764->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1672->1665->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1547->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1465->1460->1430->1423->1401->1391->1384->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1234->1231->1219->1206->1212->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->907->904->903->896->892->905->888->885->878->877->874->865->857->856->851->818->813->810->805->786->762->776->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->532->542->534->792->772->747->519->508->501->476->737->733->731->739->732->727->726->720->714->408->393->688->373->356->626->366->349->344->346->577->559->558->552->520->514->535->298->500->262->466->456->457->206->209->201->198->392->390->196->193->190->183->339->370->168->164->163->175->105->95->87->136->113->21->1->9->10->13->14->15->18->24->19->28->22->30->33->45->27->34->54->53->89->49->85->111->119->114->122->123->125->133->134->181->143->146->156->166->158->170->173->185->197->204->202->260->263->268->275->288->290->293->297->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->461->462->471->482->497->517->518->536->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->765->764->766->783->784->791->815->816->821->826->830->839->842->849->852->860->864->866->867->870->880->882->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1100->1110->1120->1122->1139->1167->1168->1181->1175->1178->1192->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1385->1379->1381->1387->1390->1403->1417->1434->1428->1453->1462->1463->1481->1497->1499->1500->1502->1503->1508->1510->1512->1521->1522->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1590->1600->1618->1593->1601->1604->1607->1616->1620->1630->1633->1641->1680->1688->1719->1739->1751->1755->1757->1776->1777->1798->1782->1785->1818->1821->1823->1824->1857->1861->1871->1890->1907->1906->1940->1941->1951->1969->1980->1978->1982->1986->1987->1991->2001->2002->2005->2013->2047->2059->2063->2071->2074->2077->2079->2099->2100->2116->2118->2121->2134->2137->2148->2158->2169->2159->2174->2181->2195->2186->2196->2204->2208->2212->2217->2229->2456,2456->2500
N2500_PS_traffic_medium_I1,2500,7696,125,2491,2500,0.9,0.5,20.5,0.9,True,355929.788,2382,101,2382_S001,near,0.3862000000000008,0.002064,0.005534,0.4593,0.0919,0.4593,0.09743399999999999,6.75,1.1645125616371976,2491->2493->2341->2332->2328->2326->2320->2317->2300->2282->2268->2263->2256->2252->2251->2247->2257->2240->2226->2237->2223->2220->2235->2236->2218->2214->2211->2202->2178->2156->2183->2155->2154->2136->2130->2109->2098->2085->2072->2082->2069->2046->2038->2033->2030->2044->2028->2014->1968->1955->1902->1895->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1763->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1672->1665->1664->1655->1649->1643->1637->1628->1625->1610->1587->1579->1552->1550->1548->1547->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1465->1460->1430->1423->1401->1391->1384->1386->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1277->1262->1257->1254->1252->1219->1206->1228->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->857->856->851->813->810->812->805->786->762->776->757->755->725->715->711->708->705->696->691->697->698->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->532->542->534->530->539->526->525->527->508->501->476->469->463->467->731->739->727->726->430->408->393->387->372->375->633->635->348->346->344->558->321->314->491->266->262->464->456->457->206->209->201->198->404->392->193->190->183->178->174->168->164->163->162->172->105->96->107->83->99->109->127->39->44->75->179->13->14->15->24->19->20->32->45->33->30->34->54->53->29->49->85->111->119->114->122->123->125->133->134->181->143->191->184->189->216->156->166->158->173->212->227->185->192->204->202->260->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->399->403->413->440->454->449->455->460->468->471->482->497->517->518->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->784->791->815->816->821->826->830->839->842->849->852->860->864->866->875->867->870->880->882->887->893->894->910->933->944->946->956->976->978->985->991->995->1011->1017->1024->1031->1071->1077->1079->1091->1100->1110->1120->1122->1139->1167->1168->1173->1175->1189->1192->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1379->1381->1387->1390->1403->1417->1434->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1588->1599->1618->1593->1601->1604->1607->1616->1620->1633->1641->1680->1688->1719->1739->1751->1755->1757->1776->1777->1798->1782->1785->1818->1821->1823->1824->1857->1859->1877->1861->1871->1875->1890->1907->1906->1940->1941->1951->1969->1980->1978->1982->1987->1991->2001->2002->2005->2013->2047->2059->2063->2071->2074->2077->2079->2099->2100->2116->2118->2121->2134->2137->2148->2158->2169->2159->2174->2181->2195->2186->2196->2207->2204->2208->2212->2217->2229->2405->2409->2394->2389->2388->2382,2382->2500
N40_PS_edge_density_denser_204_I1,40,208,2,29,40,0.9,0.5,20.5,0.9,True,251.242,39,1,39_S001,near,0.023200000000000002,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.8810665619593895,29->10->9->38->39,39->40
N40_PS_parking_supply_P5_I1,40,184,2,29,40,0.9,0.5,20.5,0.9,True,277.288,39,1,39_S001,near,0.0278,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.8957625068711277,29->27->32->20->18->17->14->5->1->21->23->36->25->31->39,39->40
N40_PS_spots_per_lot_S6080_I1,40,184,2,29,40,0.9,0.5,20.5,0.9,True,403.434,39,1,39_S001,near,0.0271,0.001,0.001816,0.12,0.024,0.12,0.025816,18.68,0.87213793924934,29->33->26->20->18->15->14->5->1->21->23->36->25->31->39,39->40
N40_PS_walking_distance_W100_I1,40,184,2,29,40,0.9,1.0,20.5,0.9,True,346.864,39,24,39_S024,mid,0.0286,0.003748,0.037095,0.12,0.024,0.12,0.061095000000000003,12.99,0.8196672192882192,29->34->30->22->19->24->12->6->1->21->23->36->31->39,39->40
